    time     gap  src>dst   cmd   reg   len  ok
   3.610    0.0ms  21>20     65    00    5    ok
   3.660   50.3ms  21>20     65    00    5    ok
   3.660  103.5ms  21>20     64    00    7    ok
   3.660  103.5ms  20>21     64    00    6    ok
   3.660    0.1ms  21>20     65    00    5    ok
   3.713   53.2ms  21>20     65    00    5    ok
   3.713    0.1ms  21>20     65    00    5    ok
   3.713    0.0ms  21>20     65    00    5    ok
   3.765  104.3ms  21>20     64    00    7    ok
   3.765  104.4ms  20>21     64    00    6    ok
   3.765   51.2ms  21>20     65    00    5    ok
   3.815   50.3ms  21>20     65    00    5    ok
   3.815    0.0ms  21>20     65    00    5    ok
   3.815    0.0ms  21>20     65    00    5    ok
   3.866  101.6ms  21>20     64    00    7    ok
   3.866  101.6ms  20>21     64    00    6    ok
   3.866   51.3ms  21>20     65    00    5    ok
   3.917   50.7ms  21>20     65    00    5    ok
   3.917    0.0ms  21>20     65    00    5    ok
   3.917    0.0ms  21>20     65    00    5    ok
   3.970  103.8ms  21>20     64    00    7    ok
   3.970  103.8ms  20>21     64    00    6    ok
   3.970   53.0ms  21>20     65    00    5    ok
   4.022   51.6ms  21>20     65    00    5    ok
   4.022    0.0ms  21>20     65    00    5    ok
   4.022    0.0ms  21>20     65    00    5    ok
   4.074  103.9ms  21>20     64    00    7    ok
   4.074  103.9ms  20>21     64    00    6    ok
   4.074   52.3ms  21>20     65    00    5    ok
   4.074    0.0ms  21>20     65    00    5    ok
   4.125   51.3ms  21>20     65    00    5    ok
   4.125    0.0ms  21>20     65    00    5    ok
   4.176  101.8ms  21>20     64    00    7    ok
   4.176  101.8ms  20>21     64    00    6    ok
   4.176   50.4ms  21>20     65    00    5    ok
   4.176    0.0ms  21>20     65    00    5    ok
   4.228   51.8ms  21>20     65    00    5    ok
   4.228    0.0ms  21>20     65    00    5    ok
   4.278  102.7ms  21>20     64    00    7    ok
   4.278  102.7ms  20>21     64    00    6    ok
   4.279   50.8ms  21>20     65    00    5    ok
   4.279    0.0ms  21>20     65    00    5    ok
   4.332   53.7ms  21>20     65    00    5    ok
   4.332    0.0ms  21>20     65    00    5    ok
   4.384  105.3ms  21>20     64    00    7    ok
   4.384  105.3ms  20>21     64    00    6    ok
   4.384   51.6ms  21>20     65    00    5    ok
   4.384    0.0ms  21>20     65    00    5    ok
   4.435   51.0ms  21>20     65    00    5    ok
   4.435    0.0ms  21>20     65    00    5    ok
   4.435   51.1ms  21>20     64    00    7    ok
   4.487  103.0ms  20>21     64    00    6    ok
   4.487   52.1ms  21>20     65    00    5    ok
   4.487    0.0ms  21>20     65    00    5    ok
   4.538   50.6ms  21>20     65    00    5    ok
   4.538    0.0ms  21>20     65    00    5    ok
   4.538  102.7ms  21>20     64    00    7    ok
   4.589  102.6ms  20>21     64    00    6    ok
   4.590   51.9ms  21>20     65    00    5    ok
   4.590    0.0ms  21>20     65    00    5    ok
   4.640   50.7ms  21>20     65    00    5    ok
   4.640    0.0ms  21>20     65    00    5    ok
   4.640  102.6ms  21>20     64    00    7    ok
   4.640   50.8ms  20>21     64    00    6    ok
   4.692   52.2ms  21>20     65    00    5    ok
   4.692    0.0ms  21>20     65    00    5    ok
   4.743   50.2ms  21>20     65    00    5    ok
   4.743    0.0ms  21>20     65    00    5    ok
   4.743  102.5ms  21>20     64    00    7    ok
   4.743  102.5ms  20>21     64    00    6    ok
   4.795   52.3ms  21>20     65    00    5    ok
   4.795    0.0ms  21>20     65    00    5    ok
   4.795    0.0ms  21>20     65    00    5    ok
   4.845   50.2ms  21>20     65    00    5    ok
   4.845  102.6ms  21>20     64    00    7    ok
   4.845  102.6ms  20>21     64    00    6    ok
   4.895   50.2ms  21>20     65    00    5    ok
   4.895    0.0ms  21>20     65    00    5    ok
   4.895    0.0ms  21>20     65    00    5    ok
   4.947   51.1ms  21>20     65    00    5    ok
   4.947  101.3ms  21>20     64    00    7    ok
   4.947  101.3ms  20>21     64    00    6    ok
   4.997   50.5ms  21>20     65    00    5    ok
   4.997    0.0ms  21>20     65    00    5    ok
   4.997    0.0ms  21>20     65    00    5    ok
   5.048   50.8ms  21>20     65    00    5    ok
   5.048  101.3ms  21>20     64    00    7    ok
   5.048  101.3ms  20>21     64    00    6    ok
   5.098   50.6ms  21>20     65    00    5    ok
   5.098    0.0ms  21>20     65    00    5    ok
   5.098    0.0ms  21>20     65    00    5    ok
   5.149   51.1ms  21>20     65    00    5    ok
   5.150  101.6ms  21>20     64    00    7    ok
   5.150  101.6ms  20>21     64    00    6    ok
   5.201   51.0ms  21>20     65    00    5    ok
   5.201    0.1ms  21>20     65    00    5    ok
   5.201    0.0ms  21>20     65    00    5    ok
   5.252   51.1ms  21>20     65    00    5    ok
   5.252  102.2ms  21>20     64    00    7    ok
   5.252  102.2ms  20>21     64    00    6    ok
   5.302   50.2ms  21>20     65    00    5    ok
   5.302    0.0ms  21>20     65    00    5    ok
   5.302    0.0ms  21>20     65    00    5    ok
   5.354   52.2ms  21>20     65    00    5    ok
   5.354  102.5ms  21>20     64    00    7    ok
   5.354  102.5ms  20>21     64    00    6    ok
