    time     gap  src>dst   cmd   reg   len  ok
   3.144    0.1ms  21>20     65    00    5    ok
   3.144  103.2ms  21>20     64    00    7    ok
   3.198  104.5ms  20>21     64    00    6    ok
   3.198   53.6ms  21>20     65    00    5    ok
   3.198    0.0ms  21>20     65    00    5    ok
   3.198    0.0ms  21>20     65    00    5    ok
   3.248   50.5ms  21>20     65    00    5    ok
   3.248  104.2ms  21>20     64    00    7    ok
   3.248   50.6ms  20>21     64    00    6    ok
   3.298   50.3ms  21>20     65    00    5    ok
   3.298    0.0ms  21>20     65    00    5    ok
   3.298    0.0ms  21>20     65    00    5    ok
   3.350   51.8ms  21>20     65    00    5    ok
   3.350  102.2ms  21>20     64    00    7    ok
   3.350  102.2ms  20>21     64    00    6    ok
   3.401   50.7ms  21>20     65    00    5    ok
   3.401    0.0ms  21>20     65    00    5    ok
   3.401    0.0ms  21>20     65    00    5    ok
   3.453   51.8ms  21>20     65    00    5    ok
   3.453  102.6ms  21>20     64    00    7    ok
   3.453  102.6ms  20>21     64    00    6    ok
   3.504   51.4ms  21>20     65    00    5    ok
   3.504    0.0ms  21>20     65    00    5    ok
   3.504    0.0ms  21>20     65    00    5    ok
   3.555   51.1ms  21>20     65    00    5    ok
   3.555  102.6ms  21>20     64    00    7    ok
   3.555  102.6ms  20>21     64    00    6    ok
   3.607   52.0ms  21>20     65    00    5    ok
   3.607    0.0ms  21>20     65    00    5    ok
   3.607    0.0ms  21>20     65    00    5    ok
   3.658   50.4ms  21>20     65    00    5    ok
   3.658  102.5ms  21>20     64    00    7    ok
   3.658  102.5ms  20>21     64    00    6    ok
   3.709   50.9ms  21>20     65    00    5    ok
   3.709    0.0ms  21>20     65    00    5    ok
   3.709    0.0ms  21>20     65    00    5    ok
   3.759   50.1ms  21>20     65    00    5    ok
   3.759  101.1ms  21>20     64    00    7    ok
   3.759  101.1ms  20>21     64    00    6    ok
   3.759    0.1ms  21>20     65    00    5    ok
   3.810   50.6ms  21>20     65    00    5    ok
   3.810    0.0ms  21>20     65    00    5    ok
   3.860   50.4ms  21>20     65    00    5    ok
   3.860  101.1ms  21>20     64    00    7    ok
   3.860  101.1ms  20>21     64    00    6    ok
   3.860    0.1ms  21>20     65    00    5    ok
   3.912   52.2ms  21>20     65    00    5    ok
   3.912    0.0ms  21>20     65    00    5    ok
   3.963   50.3ms  21>20     65    00    5    ok
   3.963  102.6ms  21>20     64    00    7    ok
   3.963  102.6ms  20>21     64    00    6    ok
   3.963    0.0ms  21>20     65    00    5    ok
   4.016   53.0ms  21>20     65    00    5    ok
